alias,date,scenario,value
MURRAY2,2025-01-07 01:00:00,2,0.0
TUMUT3,2025-01-07 00:00:00,2,122.41520843272001
TUMUT3,2025-01-07 01:00:00,2,0.0
UPPTUMUT,2025-01-07 00:00:00,2,41.890506402359996
UPPTUMUT,2025-01-07 01:00:00,2,0.0
BASTYAN,2025-01-07 00:00:00,2,7.03899737512
BASTYAN,2025-01-07 01:00:00,2,0.0
CETHANA,2025-01-07 00:00:00,2,7.480133450399999
CETHANA,2025-01-07 01:00:00,2,0.0
DEVILS_G,2025-01-07 00:00:00,2,5.29363290336
DEVILS_G,2025-01-07 01:00:00,2,0.0
FISHER,2025-01-07 00:00:00,2,3.7976062132800004
FISHER,2025-01-07 01:00:00,2,0.0
GORDON,2025-01-07 00:00:00,2,38.0719612796
GORDON,2025-01-07 01:00:00,2,0.0
JBUTTERS,2025-01-07 00:00:00,2,12.697047036319999
JBUTTERS,2025-01-07 01:00:00,2,0.0
LEM_WIL,2025-01-07 00:00:00,2,7.19243601
LEM_WIL,2025-01-07 01:00:00,2,0.0
LI_WY_CA,2025-01-07 00:00:00,2,15.57402144032
LI_WY_CA,2025-01-07 01:00:00,2,0.0
LK_ECHO,2025-01-07 00:00:00,2,2.8577945746399998
LK_ECHO,2025-01-07 01:00:00,2,0.0
MACKNTSH,2025-01-07 00:00:00,2,7.03899737512
MACKNTSH,2025-01-07 01:00:00,2,0.0
MEADOWBK,2025-01-07 00:00:00,2,3.52908860224
MEADOWBK,2025-01-07 01:00:00,2,0.0
POAT110,2025-01-07 00:00:00,2,26.42980485808
POAT110,2025-01-07 01:00:00,2,0.0
REECE1,2025-01-07 00:00:00,2,20.36897878032
REECE1,2025-01-07 01:00:00,2,0.0
TARRALEA,2025-01-07 00:00:00,2,7.9212695256800005
TARRALEA,2025-01-07 01:00:00,2,0.0
TREVALLN,2025-01-07 00:00:00,2,8.18978713672
TREVALLN,2025-01-07 01:00:00,2,0.0
TRIBUTE,2025-01-07 00:00:00,2,7.2883351568
TRIBUTE,2025-01-07 01:00:00,2,0.0
TUNGATIN,2025-01-07 00:00:00,2,11.00922205264
TUNGATIN,2025-01-07 01:00:00,2,0.0
DARTM1,2025-01-07 00:00:00,2,16.01675603
DARTM1,2025-01-07 01:00:00,2,0.0
EILDON1,2025-01-07 00:00:00,2,3.658451775
EILDON1,2025-01-07 01:00:00,2,0.0
HUMEV,2025-01-07 00:00:00,2,6.956748496
HUMEV,2025-01-07 01:00:00,2,0.0
HUMENSW,2025-01-07 00:00:00,2,6.956748496
HUMENSW,2025-01-07 01:00:00,2,0.0
MCKAY1,2025-01-07 00:00:00,2,11.97268993
MCKAY1,2025-01-07 01:00:00,2,0.0
WKIEWA1,2025-01-07 00:00:00,2,2.713592555
WKIEWA1,2025-01-07 01:00:00,2,0.0
BARRON-1,2025-01-07 00:00:00,2,68.28292654
BARRON-1,2025-01-07 01:00:00,2,0.0
KAREEYA1,2025-01-07 00:00:00,2,15.70656413
KAREEYA1,2025-01-07 01:00:00,2,0.0
BORUMBA,2025-01-07 00:00:00,2,0.0
BORUMBA,2025-01-07 01:00:00,2,0.0
KIDSTON,2025-01-07 00:00:00,2,0.0
KIDSTON,2025-01-07 01:00:00,2,0.0
SHGEN,2025-01-07 00:00:00,2,0.0
SHGEN,2025-01-07 01:00:00,2,0.0
